No.,CÓDIGO IATA,CÓDIGO OACI,AEROPUERTO,ESTADO,MUNICIPIO,CONCESIONARIO/PERMISIONARIO U OPERADOR,"GRUPO
OPERADOR PERMISIONARIO"
1,ACA,MMAA,ACAPULCO ,GUERRERO,ACAPULCO,"AEROPUERTO DE ACAPULCO, S.A. DE C.V.",OMA
2,AGU,MMAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,"AEROPUERTO DE AGUASCALIENTES, S.A. DE C.V.",GAP
3,AZP,MMJC,ATIZAPÁN,ESTADO DE MÉXICO,ATIZAPAN DE ZARAGOZA,"SISTEMAS DE AUTOPISTAS, AEROPUERTOS, SERVICIOS CONEXOS Y AUXILIARES DE ESTADO DE MÉXICO (SAASCAEM) ",ESTATAL
4,CSL,MMSL,CABO SAN LUCAS,BAJA CALIFORNIA SUR,CABO SAN LUCAS,"AEROPUERTO CABO SAN LUCAS INTERNACIONAL, S.A. DE C.V.",PARTICULAR
5,CPE,MMCP,CAMPECHE,CAMPECHE,CAMPECHE,AEROPUERTOS Y SERVICIOS AUXILIARES,ASA
6,CUN,MMUN,CANCÚN,QUINTANA ROO,CANCÚN,"AEROPUERTO DE CANCÚN, S.A. DE C.V.",ASUR
7,CYW,MMCY,CELAYA,GUANAJUATO,CELAYA,"CONSEJO DE ADMINISTRACIÓN AEROPUERTO DE CELAYA, A.C.",PARTICULAR
8,CTM,MMCM,CHETUMAL,QUINTANA ROO,CHETUMAL,AEROPUERTOS Y SERVICIOS AUXILIARES,ASA
9,CZA,MMCT,CHICHEN ITZA ,YUCATÁN,KAUA,"AEROPUERTO DE CHICHEN ITZA DEL ESTADO DE YUCATÁN, S.A. DE C.V.",PARAESTATAL
10,CUU,MMCU,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,"AEROPUERTO DE CHIHUAHUA, S.A. DE C.V.",OMA
11,ACN,MMCC,CIUDAD ACUÑA,COAHUILA,CD. ACUÑA,"ADMINISTRADORA COAHUILENSE DE INFRAESTRUCTURA Y TRANSPORTE AÉREO, S.A. DE C.V. (ACITA)",PARAESTATAL
12,CME,MMCE,CIUDAD DEL CARMEN,CAMPECHE,CD. DEL CARMEN,AEROPUERTOS Y SERVICIOS AUXILIARES,ASA
13,CJS,MMCS,CIUDAD JUÁREZ,CHIHUAHUA,CD. JUÁREZ,"AEROPUERTO DE CIUDAD JUÁREZ, S.A. DE C.V.",OMA
14,CEN,MMCN,CIUDAD OBREGÓN,SONORA,CD. OBREGÓN,AEROPUERTOS Y SERVICIOS AUXILIARES,ASA
15,CVM,MMCV,CIUDAD VICTORIA,TAMAULIPAS,CD. VICTORIA,AEROPUERTOS Y SERVICIOS AUXILIARES,ASA
16,CLQ,MMIA,COLIMA,COLIMA,CUAUHTEMOC,AEROPUERTOS Y SERVICIOS AUXILIARES,ASA
17,N/D,N/D,CORDOBA,VERACRUZ,CORDOBA,H. AYUNTAMIENTO CONSTITUCIONAL DE LA CIUDAD DE CORDOBA,MUNICIPAL
18,CZM,MMCZ,COZUMEL,QUINTANA ROO,COZUMEL,"AEROPUERTO DE COZUMEL, S.A. DE C.V.",ASUR
19,CVJ,MMCB,CUERNAVACA,MORELOS,TEMIXCO,"AEROPUERTO INTERNACIONAL DE CUERNAVACA, S.A. DE C.V. ",PARAESTATAL
20,CUL,MMCL,CULIACÁN,SINALOA,CULIACAN,"AEROPUERTO DE CULIACÁN, S.A. DE C.V.",OMA
21,NTR,MMAN,DEL NORTE,NUEVO LEÓN, APODACA,"SOCIEDAD COOPERATIVA DE CONSUMO DE SERVICIOS AÉREOS, A.D.N., S.C.L.",PARTICULAR
22,DGO,MMDO,DURANGO,DURANGO,DURANGO,"AEROPUERTO DE DURANGO, S.A. DE C.V.",OMA
