"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_ID","RWY_LEN","RWY_WIDTH","SURFACE_TYPE_CODE","COND","TREATMENT_CODE","PCN","PAVEMENT_TYPE_CODE","SUBGRADE_STRENGTH_CODE","TIRE_PRES_CODE","DTRM_METHOD_CODE","RWY_LGT_CODE","RWY_LEN_SOURCE","LENGTH_SOURCE_DATE","GROSS_WT_SW","GROSS_WT_DW","GROSS_WT_DTW","GROSS_WT_DDTW"
"2024/04/18","00103.","A","AL","0J0","ABBEVILLE","US","17/35",2900,80,"ASPH","FAIR","AFSC",,"","","","","MED","NACO","2002/02/20",,,,
"2024/04/18","00106.","A","AL","2A8","ADDISON","US","05/23",2644,112,"TURF","GOOD","NONE",,"","","","","","OWNER","2011/08/08",,,,
"2024/04/18","00108.","A","AL","AL03","AKRON","US","01/19",2002,60,"TURF","GOOD","NONE",,"","","","","","","",,,,
"2024/04/18","00108.","A","AL","AL03","AKRON","US","07/25",1104,60,"TURF","GOOD","NONE",,"","","","","","","",,,,
"2024/04/18","00110.","A","AL","EET","ALABASTER","US","16/34",5000,75,"ASPH","FAIR","NONE",,"","","","","MED","STATE","2006/06/13",16,,,
"2024/04/18","00110.01","H","AL","AL39","ALABASTER","US","H1",50,50,"CONC","","NONE",,"","","","","","","",,,,
"2024/04/18","00112.1","A","AL","8A0","ALBERTVILLE","US","05/23",6114,100,"ASPH","EXCELLENT","GRVD",,"","","","","MED","3RD PARTY SURVEY","2007/10/27",60,90,130,
"2024/04/18","00116.","A","AL","ALX","ALEXANDER CITY","US","18/36",5422,96,"ASPH","FAIR","GRVD",,"","","","","MED","3RD PARTY SURVEY","2010/01/19",30,,,
"2024/04/18","00116.01","H","AL","33AL","ALEXANDER CITY","US","H1",45,45,"CONC","FAIR","NONE",,"","","","","PERI","OWNER","2020/10/07",,,,
"2024/04/18","00119.","A","AL","AIV","ALICEVILLE","US","06/24",5001,80,"ASPH","GOOD","NONE",,"","","","","MED","NACO","2004/10/15",,,,
"2024/04/18","00124.","A","AL","79J","ANDALUSIA","US","11/29",6000,100,"ASPH","GOOD","NONE",,"","","","","MED","NGS","2010/04/14",98,160,275,
"2024/04/18","00128.","A","AL","ANB","ANNISTON","US","05/23",7000,150,"ASPH","EXCELLENT","GRVD",10,"F","C","X","T","HIGH","NGS","2006/08/06",28,43.5,260,
"2024/04/18","00128.01","H","AL","AL42","ANNISTON","US","H1",50,50,"CONC","","NONE",,"","","","","FLD","","",,,,
"2024/04/18","00128.02","H","AL","04AL","ANNISTON","US","H1",60,60,"ASPH","","NONE",,"","","","","","MILITARY","2023/11/16",,,,
"2024/04/18","00133.5","A","AL","1M3","ARDMORE","US","01/19",2700,100,"TURF","FAIR","NONE",,"","","","","","","",,,,
"2024/04/18","00134.","H","KY","90KY","ASHCAMP","US","H1",45,48,"CONC","","NONE",,"","","","","","OWNER","2011/05/23",,,,
"2024/04/18","00135.","A","AL","26A","ASHLAND/LINEVILLE","US","09/27",4023,80,"ASPH","GOOD","NONE",,"","","","","MED","ADO","2012/08/23",20,,,
"2024/04/18","00135.01","H","AL","0AL2","ASHLAND","US","H1",24,21,"CONC","","NONE",,"","","","","","FAA-EST IMAGERY","2012/11/09",,,,
"2024/04/18","00137.","A","AL","AL60","ASHVILLE","US","10/28",1800,60,"TURF","","NONE",,"","","","","","","",,,,
"2024/04/18","00139.","H","AL","5AL9","ATHENS","US","H1",60,60,"CONC","","NONE",,"","","","","","ADO","2014/07/08",,,,
"2024/04/18","00139.01","A","AL","56AL","ATHENS","US","18/36",2630,60,"TURF-DIRT","","NONE",,"","","","","","OWNER","2023/09/05",,,,
"2024/04/18","00140.1","A","AL","0R1","ATMORE","US","18/36",5001,80,"ASPH","GOOD","NONE",,"","","","","MED","3RD PARTY SURVEY","2016/09/27",16,,,
"2024/04/18","00146.","A","AL","AUO","AUBURN","US","11/29",4000,75,"ASPH","EXCELLENT","NONE",,"","","","","MED","3RD PARTY SURVEY","2006/05/22",25,42,,
"2024/04/18","00146.","A","AL","AUO","AUBURN","US","18/36",5264,100,"ASPH","EXCELLENT","GRVD",,"","","","","HIGH","3RD PARTY SURVEY","2006/05/22",45,75,,
"2024/04/18","00155.","A","AL","1R8","BAY MINETTE","US","08/26",5500,79,"ASPH","GOOD","GRVD",,"","","","","MED","3RD PARTY SURVEY","2008/11/16",28,,,
"2024/04/18","00155.03","H","AL","6AL9","BAY MINETTE","US","H1",30,30,"ASPH","","NONE",,"","","","","","","",,,,
"2024/04/18","00155.05","A","AL","96AL","BAY MINETTE","US","18/36",1400,200,"TURF","","NONE",,"","","","","","OWNER","2024/02/22",,,,
"2024/04/18","00155.31","A","AL","5R7","BAYOU LA BATRE","US","18/36",2000,150,"TURF","GOOD","NONE",,"","","","","","","",,,,
"2024/04/18","00155.32","H","AL","AL67","THEODORE","US","H1",90,50,"CONC","","NONE",,"","","","","","OWNER","2013/01/30",,,,
"2024/04/18","00157.1","A","AL","EKY","BESSEMER","US","05/23",6007,100,"ASPH","GOOD","GRVD",,"","","","","HIGH","3RD PARTY SURVEY","2008/11/04",60,60,,
"2024/04/18","00157.11","H","AL","AL19","BESSEMER","US","H1",50,50,"CONC","","NONE",,"","","","","PERI","FAA-EST IMAGERY","2015/02/06",,,,
"2024/04/18","00164.","A","AL","BHM","BIRMINGHAM","US","06/24",12007,150,"ASPH","GOOD","GRVD",65,"F","C","X","T","HIGH","3RD PARTY SURVEY","2015/07/02",175,205,350,
"2024/04/18","00164.","A","AL","BHM","BIRMINGHAM","US","18/36",7099,150,"ASPH","GOOD","GRVD",45,"F","C","X","T","MED","3RD PARTY SURVEY","2015/07/02",75,170,240,
"2024/04/18","00164.05","H","AL","AL50","BIRMINGHAM","US","H1",20,20,"CONC","","NONE",,"","","","","PERI","","",,,,
"2024/04/18","00164.06","H","AL","AL49","BIRMINGHAM","US","H1",70,70,"CONC","","NONE",,"","","","","PERI","","",,,,
"2024/04/18","00164.06","H","AL","AL49","BIRMINGHAM","US","H2",70,70,"CONC","","NONE",,"","","","","PERI","","",,,,
"2024/04/18","00164.07","H","AL","AL91","BIRMINGHAM","US","H1",70,70,"CONC","","NONE",,"","","","","PERI","","",,,,
