,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,geometry,osm_editor_link
4,506791,00AN,small_airport,Katmai Lodge Airport,59.093287,-156.456699,80.0,,US,US-AK,King Salmon,no,00AN,,00AN,,,,POINT (-156.45669899999996 59.093287),https://www.openstreetmap.org/edit?editor=id#map=18/59.093287/-156.456699
6,322127,00AS,small_airport,Fulton Airport,34.9428028,-97.8180194,1100.0,,US,US-OK,Alex,no,00AS,,00AS,,,,POINT (-97.81801940000001 34.942802799999996),https://www.openstreetmap.org/edit?editor=id#map=18/34.942803/-97.818019
9,324424,00CL,small_airport,Williams Ag Airport,39.427188,-121.763427,87.0,,US,US-CA,Biggs,no,00CL,,00CL,,,,POINT (-121.763427 39.427187999999994),https://www.openstreetmap.org/edit?editor=id#map=18/39.427188/-121.763427
32,6549,00MO,small_airport,Cooper Flying Service Airport,37.202800750732,-94.412399291992,970.0,,US,US-MO,Alba,no,00MO,,00MO,,,5K8,POINT (-94.41239929199199 37.20280075073201),https://www.openstreetmap.org/edit?editor=id#map=18/37.202801/-94.412399
37,321919,00NK,seaplane_base,Cliche Cove Seaplane Base,44.8118612,-73.3698057,96.0,,US,US-NY,Beekmantown,no,00NK,,00NK,,,,POINT (-73.3698057 44.8118612),https://www.openstreetmap.org/edit?editor=id#map=18/44.811861/-73.369806
42,328503,00OK,small_airport,Gull Bay Landing Airport,36.198598,-96.217693,960.0,,US,US-OK,Sandsprings,no,00OK,,00OK,,,,POINT (-96.21769299999998 36.198598000000004),https://www.openstreetmap.org/edit?editor=id#map=18/36.198598/-96.217693
54,516563,00TT,small_airport,Nowhere Airport,34.516606,-99.93694,1752.0,,US,US-TX,Goodlett,no,00TT,,00TT,,,,POINT (-99.93694 34.516606),https://www.openstreetmap.org/edit?editor=id#map=18/34.516606/-99.936940
62,6573,00WN,small_airport,Hawks Run Airport,46.25,-117.2490005493164,2900.0,,US,US-WA,Asotin,no,00WN,,00WN,,,,POINT (-117.24900054931639 46.24999999999999),https://www.openstreetmap.org/edit?editor=id#map=18/46.250000/-117.249001
65,525140,00XA,small_airport,Weeski Ranch Airport,30.224,-96.01417,271.0,,US,US-TX,,no,00XA,,00XA,,,,POINT (-96.01416999999998 30.223999999999993),https://www.openstreetmap.org/edit?editor=id#map=18/30.224000/-96.014170
70,356168,01AN,small_airport,McHone Heights Airport,61.649095,-149.339025,610.0,,US,US-AK,Wasilla,no,01AN,,01AN,,,,POINT (-149.339025 61.649095),https://www.openstreetmap.org/edit?editor=id#map=18/61.649095/-149.339025
86,6593,01II,small_airport,Myers Field,39.8849983215332,-86.50669860839844,950.0,,US,US-IN,Lizton,no,01II,,01II,,,,POINT (-86.50669860839844 39.8849983215332),https://www.openstreetmap.org/edit?editor=id#map=18/39.884998/-86.506699
96,6603,01LS,small_airport,Country Breeze Airport,30.722478,-91.077372,125.0,,US,US-LA,Slaughter,no,01LS,,01LS,,,,POINT (-91.07737199999998 30.72247799999999),https://www.openstreetmap.org/edit?editor=id#map=18/30.722478/-91.077372
103,6610,01MT,small_airport,Crystal Lakes Resort Airport,48.789100646972656,-114.87999725341795,3141.0,,US,US-MT,Fortine,no,01MT,,01MT,,,,POINT (-114.87999725341794 48.78910064697264),https://www.openstreetmap.org/edit?editor=id#map=18/48.789101/-114.879997
111,6615,01NV,small_airport,Lantana Ranch Airport,38.76390075683594,-119.0270004272461,4600.0,,US,US-NV,Yerington,no,01NV,,01NV,,,,POINT (-119.02700042724607 38.76390075683594),https://www.openstreetmap.org/edit?editor=id#map=18/38.763901/-119.027000
116,345166,01OL,small_airport,Spring Creek Ranch East Airport,34.391667,-96.690833,1060.0,,US,US-OK,Tishomingo,no,01OL,,01OL,,,,POINT (-96.69083299999998 34.391667),https://www.openstreetmap.org/edit?editor=id#map=18/34.391667/-96.690833
119,6621,01PN,small_airport,Bierly(Personal Use) Airport,40.93059921264648,-77.73889923095703,960.0,,US,US-PA,Bellefonte,no,01PN,,01PN,,,,POINT (-77.73889923095703 40.93059921264647),https://www.openstreetmap.org/edit?editor=id#map=18/40.930599/-77.738899
123,6625,01TE,small_airport,Smith Field,32.737598,-96.428001,505.0,,US,US-TX,Forney,no,01TE,,01TE,,,02F,POINT (-96.428001 32.737598),https://www.openstreetmap.org/edit?editor=id#map=18/32.737598/-96.428001
129,6630,01UT,small_airport,La Sal Junction Airport,38.30830001831055,-109.39600372314452,6000.0,,US,US-UT,La Sal,no,01UT,,01UT,,,,POINT (-109.39600372314452 38.308300018310554),https://www.openstreetmap.org/edit?editor=id#map=18/38.308300/-109.396004
