id,latitude,longitude,source_ref,alt_name,local_ref,wikipedia,icao,wikidata,addr:housenumber,name:fr,addr:state,name:en,type,ref,gnis:feature_type,landuse,ele,gnis:feature_id,operator:type,addr:postcode,gnis:created,military,addr:city,website,name,source,note,name:ru,phone,gnis:county_name,addr:street,operator
4262778,-25.8292281,28.2222636,,Waterkloof Air Force Base,,en:Air Force Base Waterkloof,FAWK,Q10860394,,,,,,,,military,,,,,,airfield,,,Air Force Base Waterkloof,,,,,,,
4279100,51.6527154,0.1552526,,Stapleford Airfield,,en:Stapleford Aerodrome,EGSG,Q3913647,,,,,,EGSG,,,56,,,,,,,,Stapleford Aerodrome,wikipedia,,,,,,Stapleford Flight Centre
4331802,-25.6584492,28.2255211,,,,en:Wonderboom Airport,FAWB,Q3644152,,,,,,,,,,,,,,,,,Wonderboom Airport,,,,,,,
4361246,53.8045836,10.7171264,,,,de:Flughafen Lübeck,EDHL,Q706450,,,,Lübeck Airport,public,LBC,,,16,,,,,,,https://www.flughafen-luebeck.de/,Flughafen Lübeck-Blankensee,wikipedia,,Аэропорт Любек,,,,FHL GmbH
4734432,53.7730628,-3.0302117,,,,en:Blackpool Airport,EGNH,Q598831,,,,,civil,,,,10,,,,,,,,Blackpool Airport,Bing,,,,,,Blackpool Airport Ltd
4862571,44.5462041,-89.5314879,,,,en:Stevens Point Municipal Airport,KSTE,Q7615490,,,WI,,,,,,337,1582222,,,,,,,Stevens Point Municipal Airport,,,,,,,
4885857,42.0998002,-83.1596279,,,,en:Grosse Ile Municipal Airport,KONZ,Q5610546,,,MI,Grosse Ile Municipal Airport,public,,,,179,1623866,,,,,,,Grosse Ile Municipal Airport,wikipedia,,,,,,"Township of Grosse Ile, Michigan"
5004330,53.0971349,17.9787716,landsat,,,pl:Port lotniczy Bydgoszcz-Szwederowo,EPBY,Q1407275,,,,Airport Bydgoszcz - Szwederowo,,,,,72,,,,,,,,Port Lotniczy Bydgoszcz-Szwederowo,wikipedia,,Международный аэропорт Быдгоща имени Игнатия Яна Падеревского,,,,Port Lotniczy Bydgoszcz S.A. im. Ignacego Jana Paderewskiego
5020209,53.4280897,11.7826567,,,,,EDOP,Q459156,,,,,,,,,,,,,,,,http://www.parchim-airport.com,Flughafen Schwerin-Parchim,,officially closed since 01-feb-2023,,,,,
5179445,48.4630698,-5.0645216,,Aérodrome d'Ouessant-Kerlaouen;Aérodrome d'Ouessant-Kerlaouenn,,fr:Aérodrome d'Ouessant,LFEC,Q2875779,,,,,,,,,,,,,,,,,Aérodrome d'Ouessant,survey,,,,,,
5301387,48.1797764,10.7030206,,,,,EDNS,Q12694915,,,,,,,,,550,,,,,,,http://www.lsv-schwabmuenchen.de/,Sportflugplatz Schwabmünchen,,,,,,,
5369273,48.4478772,-4.4186671,,,,fr:Aéroport Brest Bretagne,LFRB,Q1191525,,,,,,LFRB,,,,,,,,,,https://www.brest.aeroport.bzh/accueil,Aéroport de Brest-Bretagne,,,,,,,SAS Aéroport de Bretagne ouest
6169032,53.3354438,9.2600669,,,,,EDXS,Q12694934,,,,,,,,military,,,,,,airfield,,,Sonderlandeplatz Seedorf,,,,,,,
6344354,50.9120343,5.7704958,,,,nl:Maastricht Aachen Airport,EHBK,Q698063,,,,Maastricht Aachen Airport,,,,,114,,,,,,,https://www.maa.nl/,Maastricht Aachen Airport,wikipedia,,,,,,
6344366,51.4498131,5.3756078,,,,nl:Vliegbasis Eindhoven,EHEH,Q1348234,,,,Eindhoven Airport,,EIN,,military,22.6,,,,,airfield,,https://www.eindhovenairport.nl,Eindhoven Airport,wikipedia,Militair terrein is apart gemapt,,,,,Air Mobility Command
6344370,51.512844,3.7311292,,,,,EHMZ,Q1927092,,,,,,,,grass,2,,,,,,,,Midden Zeeland,,,,,,,
6344401,52.4549514,5.5151392,,,,nl:Lelystad Airport,EHLE,Q1431875,,,,Lelystad Airport,,EHLE,,,-3,,,,,,,,Lelystad Airport,wikipedia,,,,,,Schiphol Group
6344405,52.9233344,4.7820309,,,,nl:Vliegveld De Kooy,EHKD,Q1431193,,,,,,,,,,,,,,,,https://www.denhelderairport.nl/,Den Helder Airport,,Militair terrein is apart gemapt,,,,,Defensie Helikopter Commando
6344406,53.11537,4.83057,,,,nl:Vliegveld Texel,EHTX,Q2056043,,,,Texel International Airport,public,EHTX,,,0.6,,,,,,,,Texel International Airport,wikipedia,,,,,,Government
6344408,53.1207697,6.5753819,,,,nl:Groningen Airport Eelde,EHGG,Q769099,,,,Groningen Airport Eelde,,,,,5,,,,,,,,Groningen Airport Eelde,wikipedia;Bing;estimate (na baanverlenging),,,,,,Groningen Airport Eelde NV
7266430,29.2655429,-94.8612227,geonames.usgs.gov,,,en:Scholes International Airport at Galveston,KGLS,Q6587665,,,TX,Scholes International Airport at Galveston,public,,,,1,1386705,,,,,,,Scholes International Airport at Galveston,wikipedia,,,,,,City of Galveston
7934582,47.2863289,-2.3469868,,,,fr:Aérodrome de La Baule-Escoublac,LFRE,Q2875496,,,,,,,,,,,,,,,,,Aérodrome de La Baule-Escoublac,,,,,,,
8059769,49.3250351,8.5277211,,,,,EDFX,Q12693014,,,,,,,,grass,,,,,,,,https://www.sfc-hockenheim.de/,Auchtweid,,,,,,,Sportflieger-Club Hockenheim e.V.
