id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,geometry,osm_editor_link
324424,00CL,small_airport,Williams Ag Airport,39.427188,-121.763427,87.0,,US,US-CA,Biggs,no,00CL,,00CL,,,,POINT (-121.763427 39.427187999999994),https://www.openstreetmap.org/edit?editor=id#map=18/39.427188/-121.763427
6549,00MO,small_airport,Cooper Flying Service Airport,37.202800750732,-94.412399291992,970.0,,US,US-MO,Alba,no,00MO,,00MO,,,5K8,POINT (-94.41239929199199 37.20280075073201),https://www.openstreetmap.org/edit?editor=id#map=18/37.202801/-94.412399
321919,00NK,seaplane_base,Cliche Cove Seaplane Base,44.8118612,-73.3698057,96.0,,US,US-NY,Beekmantown,no,00NK,,00NK,,,,POINT (-73.3698057 44.8118612),https://www.openstreetmap.org/edit?editor=id#map=18/44.811861/-73.369806
328503,00OK,small_airport,Gull Bay Landing Airport,36.198598,-96.217693,960.0,,US,US-OK,Sandsprings,no,00OK,,00OK,,,,POINT (-96.21769299999998 36.198598000000004),https://www.openstreetmap.org/edit?editor=id#map=18/36.198598/-96.217693
516563,00TT,small_airport,Nowhere Airport,34.516606,-99.93694,1752.0,,US,US-TX,Goodlett,no,00TT,,00TT,,,,POINT (-99.93694 34.516606),https://www.openstreetmap.org/edit?editor=id#map=18/34.516606/-99.936940
6573,00WN,small_airport,Hawks Run Airport,46.25,-117.2490005493164,2900.0,,US,US-WA,Asotin,no,00WN,,00WN,,,,POINT (-117.24900054931639 46.24999999999999),https://www.openstreetmap.org/edit?editor=id#map=18/46.250000/-117.249001
525140,00XA,small_airport,Weeski Ranch Airport,30.224,-96.01417,271.0,,US,US-TX,,no,00XA,,00XA,,,,POINT (-96.01416999999998 30.223999999999993),https://www.openstreetmap.org/edit?editor=id#map=18/30.224000/-96.014170
356168,01AN,small_airport,McHone Heights Airport,61.649095,-149.339025,610.0,,US,US-AK,Wasilla,no,01AN,,01AN,,,,POINT (-149.339025 61.649095),https://www.openstreetmap.org/edit?editor=id#map=18/61.649095/-149.339025
6593,01II,small_airport,Myers Field,39.8849983215332,-86.50669860839844,950.0,,US,US-IN,Lizton,no,01II,,01II,,,,POINT (-86.50669860839844 39.8849983215332),https://www.openstreetmap.org/edit?editor=id#map=18/39.884998/-86.506699
6603,01LS,small_airport,Country Breeze Airport,30.722478,-91.077372,125.0,,US,US-LA,Slaughter,no,01LS,,01LS,,,,POINT (-91.07737199999998 30.72247799999999),https://www.openstreetmap.org/edit?editor=id#map=18/30.722478/-91.077372
6615,01NV,small_airport,Lantana Ranch Airport,38.76390075683594,-119.0270004272461,4600.0,,US,US-NV,Yerington,no,01NV,,01NV,,,,POINT (-119.02700042724607 38.76390075683594),https://www.openstreetmap.org/edit?editor=id#map=18/38.763901/-119.027000
345166,01OL,small_airport,Spring Creek Ranch East Airport,34.391667,-96.690833,1060.0,,US,US-OK,Tishomingo,no,01OL,,01OL,,,,POINT (-96.69083299999998 34.391667),https://www.openstreetmap.org/edit?editor=id#map=18/34.391667/-96.690833
