id,latitude,longitude,area,ele,access,abandoned,surface,width,name,ref:linz:topo50_id,length,source,ref
1080896506,3.9597819,29.3722141,,,,,gravel,,Garamba (disused),,,GPS,
2494293244,34.1894326,-79.7243946,,,,,,,,,,,
6235001784,48.9934005,-122.7338237,,,,,,,,,,,
7853058471,47.148214,17.9096996,,,,,grass,,Jutasi Lő- és Gyakorlótér,,,,Jutas-pusztai repülőtér
2429920,53.1656432,-0.5242098,,,,,asphalt,58,,,2839,,02/20
2449671,45.728676,5.0881163,,,,,asphalt,45,,,4000,,17R/35L
2449728,45.7229018,5.0933495,,,,,asphalt,45,,,2670,,17L/35R
2796472,50.6780775,-1.1097167,,,,,concrete,23,,,830,,12/30
2796493,52.0728492,-0.6159563,,,,,asphalt,45,,,1800,,03/21
2798800,51.4648665,-0.4582125,,,,,paved,50,,,3660,bing,09R/27L
2798802,51.47759,-0.459166,,,,,paved,50,,,3902,,09L/27R
2799094,51.1482609,-0.1893772,,,,,asphalt,45,,,3316,,08R/26L
2799180,51.8745406,-0.3690261,,,,,asphalt,45,,,2160,,07/25
3245155,52.2050135,0.1750021,,,,,concrete,45,,,1965,NATS IAIP,05/23 main
3386650,53.1042007,-4.3403806,,,,,asphalt,,,,1,Bing,02/20
3405750,49.4349214,-2.6035706,,,,,,,,,,NATS charts,09/27
3405867,49.9991238,-5.2346963,,,,,asphalt,,,,1309,,09/27
3405868,50.0020976,-5.231666,,,,,asphalt,,,,1821,,05/23
3405869,50.0012712,-5.2306608,,,,,asphalt,,,,1405,,18/36
3405870,49.9995556,-5.2317118,,,,,asphalt,,,,884,,13/31
3558026,-31.43571,152.8619948,,,,,asphalt_grooved,45,,,1800,landsat;Bing;ERSA,03/21
3567224,-32.7960507,151.835042,,9,,,,45,,,3058,landsat,12/30
3697911,50.0873639,-5.2568782,,,,,,,,,,,07/25
3697912,50.0854154,-5.2541443,,,,,,45,,,1830,,11/29
3697913,50.0852742,-5.2516196,,,,,,,,,,,18/36
3730814,50.4407908,-4.9953627,,,,,asphalt,45,,,2744,,12/30
3748999,51.4009233,-3.3570175,,,,,asphalt,45,,,,,
3753697,53.8594542,-1.6506783,,,,,concrete,45,,,,Bing,
3809436,53.3328665,-2.8664623,,,,,asphalt,46,,,,,
3895636,53.3400506,-2.2939735,,,,,grooved_asphalt,45,,,3200,,05R/23L
3989493,50.0163236,8.5261212,,99.4,,,concrete,45,Startbahn West,,4000,landsat,18
3989494,50.0337999,8.5603599,,100,,,asphalt,45,Start- und Landebahn Süd,,4000,landsat,07R/25L
3992732,51.8860823,0.2364279,,,,,asphalt,45,,,3049,,04/22
3994985,51.519489,-2.5922298,,,,,concrete,,,,,,
3995782,43.6769992,-79.6408599,,,,,asphalt,60.96,,,2770.022,,15R/33L
4040282,53.83485,-1.1945653,,,,,asphalt,45,,,,landsat,06/24
4040283,53.8313785,-1.1931231,,,,,asphalt,45,,,,,
4040319,53.7894989,-1.2172859,,,,,,,,,,,
4040320,53.7850484,-1.2184709,,,,,grass,18,,,616,,10/28 Grass
4040321,53.7868238,-1.2132808,,,,,grass,18,,,585,,01/19
4040322,53.7880106,-1.2186191,,,,,grass,18,,,793,,06/24
4045744,20.8970392,-156.4304627,,,,,asphalt,46,,,2133,,2/20
4045751,13.485328,144.798017,,,,,asphalt,46,,,3663,,6L/24R
4045752,13.4824721,144.7963189,,,,,asphalt,46,,,3052,,6R/24L
4052652,50.099239,14.2635089,,,,,concrete,45,,,3250,,12/30
4061564,33.2681863,44.2418859,,,,,concrete,60,,,4000,,15L/33R
4061565,33.2556974,44.2257156,,,,,concrete,45,,,3300,,15R/33L
4077914,51.6558288,-0.3258452,,,,,asphalt,20,,,650,,08/26
4077929,51.6564342,-0.3205079,,,,,,15,,,,,
4077931,51.6551611,-0.3317014,,,,,,15,,,,,
4083325,14.5052267,121.0134121,,,,,asphalt,60,,,"3,737",,06/24
4083788,49.1513084,16.6938863,,237,,,concrete,60,,,2650,uhul:ortofoto;AIP,09/27
4086359,34.5658395,69.212386,,1792,,,asphalt,45,,,3511,,11/29
4099025,48.0275252,7.8299775,,,,,,30,,,,,
4147210,55.9499663,-3.3726053,,,,,asphalt,45,,,2558,,06/24
4156620,-33.9891304,25.609109,,,,,asphalt,46,,,1980,,08/26
4156624,-33.9900737,25.6214003,,,,,asphalt,46,,,1677,,17/35
4188378,48.7793485,8.0805107,,,,,asphalt,45 m,,,3000 m,,03/21
4212279,33.2791156,44.4940926,,,,,,,مدرج المطار الرشيد,,,,15L/33R
4225897,58.169794,13.5878555,,,,,asphalt,30,,,,,04/22
4234404,-25.8274175,28.2253726,,,,,asphalt,45,,,1918,,06/24
4235024,49.7067122,-2.214875,,,,,asphalt,,,,877,,08/26
4253154,48.1665026,17.2182462,,133,,,concrete,45,,,3190,landsat,13/31
4253155,48.1702068,17.2129379,,133,,,concrete,60,,,2900,landsat,04/22
4254784,40.1931964,-76.7626139,,,,,,,Harrisburg International Airport Runway,,,,13/31
4257674,39.067555,-95.6244535,,,,,asphalt,23,,,1320,,18/36
4257676,39.0698998,-95.6206252,,,,,asphalt,30,,,1554,,13/31
4265736,-33.9737972,18.604475,,42,,,asphalt,61,,,3201,SACAA,01/19
4265737,-33.9668231,18.6039525,,42,,,asphalt,46,,,1701,SACAA,16/34
4271808,13.1574336,123.7346769,,,,,asphalt,35,Runway 06/24,,2280,,RWY06/24
4272767,53.4555778,9.8303395,,,,,gravel,5,,,900,,12/30
4273263,40.2178134,-76.8500853,,105.46,,,asphalt,45.72,Capital City Airport Runway,,1524.00,,8/26
4275342,52.0906196,0.1318093,,,,,,,06/24,,,,06R/24L
4277515,11.6794162,122.3753827,,,,,asphalt,55.38,,,2570,,05/23
4279102,51.6518461,0.1553588,,,,,,,,,,,03R/21L
4279318,11.9262526,121.9573712,,,,,concrete,45,,,950,,06/24
4293808,50.8161279,-1.2059214,,,,,asphalt,30,,,1325,landsat;operators_website,05/23
4293899,-33.7999267,18.3638876,,10,,,grass,70,,,640,,
4293901,-33.8010761,18.3644179,,10,,,grass,70,,,640,,
4298518,-30.3175584,153.1183062,,,,,paved,18,,,,Bing,10 / 28
