airport,minName,minEle,minRunway,minICAO,minIATA,minWebsite,minOSM,LAT,LON
http://www.wikidata.org/entity/Q17559,Lord Howe Island Airport,3,,YLHI,LDH,,,159.077222222,-31.538333333
http://www.wikidata.org/entity/Q1547,Lyon–Saint-Exupéry Airport,250,17L/35R,LFLL,LYS,https://www.lyonaeroports.com/,,5.081111111,45.725555555
http://www.wikidata.org/entity/Q4102,Lyon-Bron Airport,659,,LFLY,LYN,https://businessaviation.lyonaeroports.com/,,4.938888,45.729445
http://www.wikidata.org/entity/Q4156,Dong Hoi Airport,59,,VVDH,VDH,http://donghoiairport.com.vn,,106.590555555,17.515
http://www.wikidata.org/entity/Q8688,San Francisco International Airport,4,01L/19R,KSFO,SFO,https://FlySFO.com,,-122.375,37.618888888
http://www.wikidata.org/entity/Q515522,Tulsa International Airport,206,08/26,KTUL,TUL,http://www.tulsaairports.com/,,-95.888055555,36.198333333
http://www.wikidata.org/entity/Q17560,Merimbula Airport,2,,YMER,MIM,http://www.merimbulaairport.com.au,,149.901388888,-36.908611111
http://www.wikidata.org/entity/Q17561,Moree Airport,211,,YMOR,MRZ,http://www.mpsc.nsw.gov.au/index.php?option=com_content&view=article&id=65&Itemid=73,,149.844722222,-29.498888888
http://www.wikidata.org/entity/Q17562,Moruya Airport,7,,YMRY,MYA,,,150.144444444,-35.897777777
http://www.wikidata.org/entity/Q17564,Mudgee Airport,464,,YMDG,DGE,http://www.midwestern.nsw.gov.au/Community_facilities/Airport.html,,149.611111111,-32.5625
http://www.wikidata.org/entity/Q17566,Narrabri Airport,221,,YNBR,NAA,http://www.narrabri.nsw.gov.au/index.cfm?page_id=1249,,149.827222222,-30.319166666
http://www.wikidata.org/entity/Q17567,Scottsdale Airport,460,03/21,KSDL,SCF,https://www.scottsdaleaz.gov/airport.asp,,-111.910555555,33.622777777
http://www.wikidata.org/entity/Q17568,Narrandera Airport,141,,YNAR,NRA,http://www.narrandera.nsw.gov.au/cp_themes/default/page.asp?p=DOC-JKF-72-42-47,,146.5177778,-34.698333333
http://www.wikidata.org/entity/Q17569,Narromine Airport,237,,YNRM,QRM,,,148.224722222,-32.214444444
http://www.wikidata.org/entity/Q17608,Croker Island Airport,16,,YCKI,CKI,,,132.48333333,-11.165
http://www.wikidata.org/entity/Q17609,Darwin International Airport,103,,YPDN,DRW,https://www.darwinairport.com.au/,,130.876666666,-12.414722222
http://www.wikidata.org/entity/Q17610,Elcho Island Airport,30,,YELD,ELC,,,135.57065,-12.019338
http://www.wikidata.org/entity/Q17611,Lake Evella Airport,88,,YLEV,LEL,,,135.805,-12.498333333
http://www.wikidata.org/entity/Q17612,Groote Eylandt Airport,13,,YGTE,GTE,,,136.46,-13.975
http://www.wikidata.org/entity/Q17613,Kalkgurung Airport,197,,YKKG,KFG,,,130.808055555,-17.431944444
http://www.wikidata.org/entity/Q17584,Tamworth Regional Airport,406,,YSTW,TMW,http://www.tamworth.nsw.gov.au/Council/Council-Enterprises-and-Venues/Tamworth-Regional-Airport/Tamworth-Regional-Airport/default.aspx,,150.8511111,-31.081666666
http://www.wikidata.org/entity/Q17587,Taree Airport,12,,YTRE,TRO,,,152.513888888,-31.888611111
http://www.wikidata.org/entity/Q17589,Temora Airport,270,,YTEM,TEM,,,147.511666666,-34.421666666
http://www.wikidata.org/entity/Q17591,Tibooburra Airport,175,,YTIB,TYB,,,142.058333333,-29.451666666
http://www.wikidata.org/entity/Q17593,Tumut Airport,256,,YTMU,TUM,,,148.240833333,-35.262777777
